query_id,  literal,    doc_id, rank,   score,  system, recall, precision
1 Q0 CACM-2319 1 19.636166015439443 BM25 0.0 0.0 
1 Q0 CACM-1410 2 18.726743402235236 BM25 0.2 0.5 
1 Q0 CACM-1519 3 15.374847294053428 BM25 0.2 0.3333333333333333 
1 Q0 CACM-1605 4 14.935001540565667 BM25 0.4 0.5 
1 Q0 CACM-1506 5 14.755042415353026 BM25 0.4 0.4 
1 Q0 CACM-3025 6 14.375299010911418 BM25 0.4 0.3333333333333333 
1 Q0 CACM-1161 7 14.091661390310378 BM25 0.4 0.2857142857142857 
1 Q0 CACM-0585 8 13.770253302752433 BM25 0.4 0.25 
1 Q0 CACM-2317 9 13.609651810636198 BM25 0.4 0.2222222222222222 
1 Q0 CACM-2947 10 13.378274392361542 BM25 0.4 0.2 
1 Q0 CACM-1805 11 13.271176661187933 BM25 0.4 0.18181818181818182 
1 Q0 CACM-2379 12 13.243451595503362 BM25 0.4 0.16666666666666666 
1 Q0 CACM-1408 13 13.030867099821894 BM25 0.4 0.15384615384615385 
1 Q0 CACM-1315 14 12.941229573844591 BM25 0.4 0.14285714285714285 
1 Q0 CACM-1749 15 12.919212011048224 BM25 0.4 0.13333333333333333 
1 Q0 CACM-2054 16 12.911235776698595 BM25 0.4 0.125 
1 Q0 CACM-1572 17 12.872391630869044 BM25 0.6 0.17647058823529413 
1 Q0 CACM-2632 18 12.764387631124592 BM25 0.6 0.16666666666666666 
1 Q0 CACM-1462 19 12.738917914907592 BM25 0.6 0.15789473684210525 
1 Q0 CACM-1854 20 12.723559653403164 BM25 0.6 0.15 
1 Q0 CACM-2380 21 12.616674193774202 BM25 0.6 0.14285714285714285 
1 Q0 CACM-1523 22 12.58020869874883 BM25 0.6 0.13636363636363635 
1 Q0 CACM-2358 23 12.577460285727827 BM25 0.8 0.17391304347826086 
1 Q0 CACM-3048 24 12.54210818104975 BM25 0.8 0.16666666666666666 
1 Q0 CACM-1680 25 12.485810249399888 BM25 0.8 0.16 
1 Q0 CACM-1168 26 12.408872837932538 BM25 0.8 0.15384615384615385 
1 Q0 CACM-1844 27 12.318119679204141 BM25 0.8 0.14814814814814814 
1 Q0 CACM-1591 28 12.289965391941411 BM25 0.8 0.14285714285714285 
1 Q0 CACM-1046 29 12.250791678196203 BM25 0.8 0.13793103448275862 
1 Q0 CACM-2629 30 12.160634619591082 BM25 0.8 0.13333333333333333 
1 Q0 CACM-1685 31 11.941822069129403 BM25 0.8 0.12903225806451613 
1 Q0 CACM-0971 32 11.820685802627514 BM25 0.8 0.125 
1 Q0 CACM-1753 33 11.815388280414782 BM25 0.8 0.12121212121212122 
1 Q0 CACM-1647 34 11.804996090584861 BM25 0.8 0.11764705882352941 
1 Q0 CACM-1236 35 11.748924283178246 BM25 0.8 0.11428571428571428 
1 Q0 CACM-1544 36 11.731477126243103 BM25 0.8 0.1111111111111111 
1 Q0 CACM-1938 37 11.711798081339072 BM25 0.8 0.10810810810810811 
1 Q0 CACM-1033 38 11.640090349713725 BM25 0.8 0.10526315789473684 
1 Q0 CACM-1750 39 11.53120970081307 BM25 0.8 0.10256410256410256 
1 Q0 CACM-2946 40 11.433181182659654 BM25 0.8 0.1 
1 Q0 CACM-2624 41 11.376281646664566 BM25 0.8 0.0975609756097561 
1 Q0 CACM-1698 42 11.294066598658004 BM25 0.8 0.09523809523809523 
1 Q0 CACM-2951 43 11.288155336290231 BM25 0.8 0.09302325581395349 
1 Q0 CACM-2950 44 11.282019069550431 BM25 0.8 0.09090909090909091 
1 Q0 CACM-3069 45 11.21079612599977 BM25 0.8 0.08888888888888889 
1 Q0 CACM-3127 46 11.040442006034038 BM25 0.8 0.08695652173913043 
1 Q0 CACM-1747 47 10.932292220290158 BM25 0.8 0.0851063829787234 
1 Q0 CACM-2151 48 10.913420520501958 BM25 0.8 0.08333333333333333 
1 Q0 CACM-1179 49 10.905778810634683 BM25 0.8 0.08163265306122448 
1 Q0 CACM-2740 50 10.882533455305856 BM25 0.8 0.08 
1 Q0 CACM-1464 51 10.881763755216221 BM25 0.8 0.0784313725490196 
1 Q0 CACM-0698 52 10.838856116498087 BM25 0.8 0.07692307692307693 
