query_id,  literal,    doc_id, rank,   score,  system, recall, precision
1 Q0 CACM-2319 1 21.184436842258666 BM25 0.0 0.0 
1 Q0 CACM-1410 2 20.222057190938994 BM25 0.2 0.5 
1 Q0 CACM-1605 3 17.751826144804266 BM25 0.4 0.6666666666666666 
1 Q0 CACM-1698 4 17.281315775949032 BM25 0.4 0.5 
1 Q0 CACM-1519 5 17.02689320227337 BM25 0.4 0.4 
1 Q0 CACM-1506 6 16.815301400119658 BM25 0.4 0.3333333333333333 
1 Q0 CACM-2379 7 16.359721530657005 BM25 0.4 0.2857142857142857 
1 Q0 CACM-1161 8 16.166505163826578 BM25 0.4 0.25 
1 Q0 CACM-2947 9 16.152111507231133 BM25 0.4 0.2222222222222222 
1 Q0 CACM-1033 10 15.644441316791408 BM25 0.4 0.2 
1 Q0 CACM-0585 11 15.619387530028746 BM25 0.4 0.18181818181818182 
1 Q0 CACM-2054 12 15.363938471385676 BM25 0.4 0.16666666666666666 
1 Q0 CACM-2632 13 15.161168939975939 BM25 0.4 0.15384615384615385 
1 Q0 CACM-1805 14 15.115842840236814 BM25 0.4 0.14285714285714285 
1 Q0 CACM-2946 15 14.569172553433523 BM25 0.4 0.13333333333333333 
1 Q0 CACM-1854 16 14.54964908869999 BM25 0.4 0.125 
1 Q0 CACM-1523 17 14.46412756650611 BM25 0.4 0.11764705882352941 
1 Q0 CACM-1591 18 14.370278797611862 BM25 0.4 0.1111111111111111 
1 Q0 CACM-2541 19 14.328814869441603 BM25 0.4 0.10526315789473684 
1 Q0 CACM-2950 20 14.273190975755652 BM25 0.4 0.1 
1 Q0 CACM-3025 21 14.259240343934364 BM25 0.4 0.09523809523809523 
1 Q0 CACM-1408 22 14.235362297525914 BM25 0.4 0.09090909090909091 
1 Q0 CACM-0698 23 14.141163470647664 BM25 0.4 0.08695652173913043 
1 Q0 CACM-1749 24 14.09953554277244 BM25 0.4 0.08333333333333333 
1 Q0 CACM-1315 25 14.07227472693604 BM25 0.4 0.08 
1 Q0 CACM-1938 26 14.020291724059035 BM25 0.4 0.07692307692307693 
1 Q0 CACM-1464 27 13.919351795045586 BM25 0.4 0.07407407407407407 
1 Q0 CACM-1647 28 13.839422995970022 BM25 0.4 0.07142857142857142 
1 Q0 CACM-1462 29 13.758914447057807 BM25 0.4 0.06896551724137931 
1 Q0 CACM-2380 30 13.756701836486016 BM25 0.4 0.06666666666666667 
1 Q0 CACM-2317 31 13.737085169448608 BM25 0.4 0.06451612903225806 
1 Q0 CACM-1685 32 13.721798909786974 BM25 0.4 0.0625 
1 Q0 CACM-3069 33 13.720662998302583 BM25 0.4 0.06060606060606061 
1 Q0 CACM-2358 34 13.562713135284541 BM25 0.6 0.08823529411764706 
1 Q0 CACM-1225 35 13.52969868313936 BM25 0.6 0.08571428571428572 
1 Q0 CACM-1750 36 13.441294339415776 BM25 0.6 0.08333333333333333 
1 Q0 CACM-1544 37 13.427333569788095 BM25 0.6 0.08108108108108109 
1 Q0 CACM-1572 38 13.414175638578099 BM25 0.8 0.10526315789473684 
1 Q0 CACM-3127 39 13.31078736943729 BM25 0.8 0.10256410256410256 
1 Q0 CACM-1753 40 13.180538724293957 BM25 0.8 0.1 
1 Q0 CACM-0637 41 13.17473389711796 BM25 0.8 0.0975609756097561 
1 Q0 CACM-1264 42 13.043539443246308 BM25 0.8 0.09523809523809523 
1 Q0 CACM-1827 43 13.034649223485197 BM25 0.8 0.09302325581395349 
1 Q0 CACM-2357 44 12.917322205085359 BM25 0.8 0.09090909090909091 
1 Q0 CACM-1393 45 12.889079498308531 BM25 0.8 0.08888888888888889 
1 Q0 CACM-1844 46 12.84060081263546 BM25 0.8 0.08695652173913043 
1 Q0 CACM-3048 47 12.822630945916664 BM25 0.8 0.0851063829787234 
1 Q0 CACM-1046 48 12.697768714635611 BM25 0.8 0.08333333333333333 
1 Q0 CACM-1226 49 12.690921289648793 BM25 0.8 0.08163265306122448 
1 Q0 CACM-1680 50 12.684554940657303 BM25 0.8 0.08 
